Annotee-Identifier	Human-Readable-Description
OG0007266	protein phosphatase regulatory subunit
OG0015120	insulin growth factor binding protein complex acid labile subunit
OG0006713	modulator of smoothened protein
OG0006552	general transcription factor ii i repeat domain containing protein
OG0012624	queuine trna ribosyltransferase
OG0010033	delta 14 sterol reductase
OG0014197	membrane spanning 4 domains subfamily a member
OG0008349	unknown sequence family
OG0000742	toll receptor
OG0006469	enhancer of mrna decapping protein
OG0006646	rus family member
OG0011737	condensin complex subunit
OG0013637	apolipoprotein b 100
OG0004672	olfactory receptor 51e2
OG0002150	nucleotide sugar transporter slc35d2
OG0010222	dna replication licensing factor mcm
OG0006032	small integral membrane protein
OG0010185	short transient receptor potential channel
OG0000799	binding protein hippocalcin
OG0005058	dna excision repair protein ercc
OG0000031	spindlin
OG0012991	tubulin polyglutamylase ttll
OG0010923	dna replication complex gins protein psf
OG0008442	lysine specific demethylase
OG0001596	protein mtss
OG0004854	very long chain 3 oxoacyl coa reductase protein
OG0002660	phosphatidylcholine ceramide cholinephosphotransferase
OG0001291	synaptonemal complex protein
OG0004630	b cell antigen receptor complex associated protein alpha chain
OG0005359	docking protein
OG0005986	dnaj subfamily b member 6
OG0008009	ubiquitin modifier
OG0012882	cilia and flagella associated protein
OG0013616	n terminal ef hand calcium binding protein
OG0013822	sodium channel modifier
OG0004961	t cell interacting activating receptor on myeloid cells protein
OG0015050	uromodulin
OG0007315	pre mrna processing factor
OG0012438	g protein activated inward rectifier potassium channel
OG0013788	protein spmip
OG0000099	unknown sequence family
OG0013313	rna binding protein fxr
OG0012560	domain zinc finger protein
OG0004814	transmembrane protein
OG0003887	programmed cell death protein 10
OG0008865	upf protein c6orf120
OG0001243	bifunctional protein fold
OG0014178	zinc finger protein
OG0012940	mitochondrial protein c2orf69
OG0013810	glutaminyl peptide cyclotransferase protein
OG0010673	protein strawberry notch
OG0000021	histone h3 1 2
OG0015357	succinyl diaminopimelate desuccinylase
OG0006537	fatty acid oxidation complex subunit alpha
OG0011507	serine threonine protein phosphatase pgam mitochondrial
OG0015412	unknown sequence family
OG0003892	lysosomal pro x carboxypeptidase
OG0012947	cation channel sperm associated targeting subunit tau
OG0008626	radiation inducible immediate early gene iex
OG0009963	unknown sequence family
OG0006997	acyl coa lysophosphatidylglycerol acyltransferase
OG0002559	histone deacetylase complex subunit sap
