Annotee-Identifier	Human-Readable-Description
OG0013696	7 methylguanosine phosphate specific 5 nucleotidase
OG0003137	ribonuclease t2 protein
OG0010971	voltage gated potassium channel kcnh
OG0006884	trna m 4 x modification enzyme trm
OG0002026	glycine rich rna binding protein 2
OG0006834	jmjc domain containing protein
OG0014341	cd antigen
OG0000183	high mobility group protein
OG0014126	rna binding protein
OG0005367	bbsome complex member bbs
OG0013504	small integral membrane protein
OG0009398	glucocorticoid receptor
OG0011193	oxidation resistance protein
OG0012806	androgen gene protein
OG0010047	transmembrane protein
OG0006348	adherens junction associated protein
OG0003712	small integral membrane protein
OG0001964	lysine specific demethylase phf
OG0004794	androglobin
OG0013933	coatomer subunit zeta
OG0003245	u2 small nuclear ribonucleoprotein a
OG0014838	unknown sequence family
OG0003652	p2x purinoceptor
OG0014765	zinc finger protein
OG0001029	dynein axonemal heavy chain
OG0009517	integrator complex subunit
OG0014139	nlr family card domain containing protein
OG0000364	major allergen i polypeptide chain
OG0007276	e3 ubiquitin protein ligase
OG0013579	neuropeptide receptor type
OG0002372	large ribosomal subunit protein
OG0008841	armadillo repeat containing protein
OG0011776	retinal guanylyl cyclase
OG0008489	gpi ethanolamine phosphate transferase
OG0011460	sh domain binding protein 4
OG0012581	beta gamma crystallin protein
OG0005568	ras gtpase activating protein
OG0003046	t cell surface glycoprotein 1
OG0009081	hyaluronidase
OG0000387	leucine rich member
OG0011988	protein dpcd
OG0010063	bbsome complex member bbs
OG0014505	unknown sequence family
OG0000575	translation machinery associated protein
OG0007494	delta protein
OG0008326	unknown sequence family
OG0000848	rho gtpase activating protein
OG0000846	dna directed rna polymerase subunit
OG0002944	keratin associated protein
OG0008503	protein fam221b
OG0009251	adp ribosylhydrolase arh
OG0008146	histone deacetylase
OG0007256	mitochondrial inner membrane protein
OG0006046	m7gpppx diphosphatase
OG0000638	nuclear transport factor
OG0002084	olfactory receptor
OG0009039	a disintegrin and metalloproteinase with thrombospondin motifs
OG0012505	alanine glyoxylate aminotransferase 1 mitochondrial
OG0000337	keratin type i cytoskeletal
OG0013477	selenoprotein p
OG0013732	e3 ubiquitin protein ligase rnf
OG0005813	cell cycle and apoptosis regulator protein
OG0013136	gtpase hflx
OG0008721	skeletal receptor tyrosine protein kinase
OG0000551	tyrosine protein kinase btk
OG0011478	transcription termination factor 4 mitochondrial
OG0000385	epithelial membrane protein
OG0010057	leucine rich repeat and fibronectin type iii domain containing protein
OG0013081	coatomer subunit
OG0006632	mitotic spindle assembly checkpoint protein mad
OG0007044	small ribosomal subunit protein us
OG0013014	regulator of g protein signaling
OG0005673	protein fam193b
OG0004690	paraneoplastic antigen ma
OG0003175	nectin protein
OG0009281	kinocilin
OG0009863	atp dependent rna helicase
OG0013342	ral guanine nucleotide dissociation stimulator
OG0012011	cst complex subunit stn
OG0001487	beta hexosaminidase subunit
OG0009080	transmembrane protein 229a
OG0013706	g protein signaling modulator
OG0004972	v set and immunoglobulin domain containing protein
OG0004202	endothelin receptor b
OG0009521	e3 ubiquitin protein ligase rnf
OG0014712	zinc finger protein
OG0006992	g0 g1 switch protein
OG0005360	dna directed rna polymerase subunit rpo
OG0001534	striated muscle specific serine threonine protein kinase
OG0007725	2 3 cyclic nucleotide phosphodiesterase
OG0001475	double stranded rna specific adenosine deaminase
OG0011647	beta ureidopropionase
OG0006023	coiled coil domain containing protein
OG0006220	cilia and flagella associated protein
OG0001196	syntaxin protein
OG0005033	coiled coil domain containing protein
OG0011893	fibroblast growth factor binding protein
OG0008901	brain and acute leukemia cytoplasmic protein
OG0004230	bcl homologous antagonist killer
OG0007010	potassium channel subfamily k member
OG0013647	amp deaminase
OG0007233	proteasome subunit beta type
OG0003460	mediator of rna polymerase ii transcription subunit
OG0006610	inactive ubiquitin carboxyl terminal hydrolase protein
OG0005966	up regulator of cell proliferation
OG0012370	inactive tyrosine protein kinase
OG0006487	transmembrane protein
OG0012113	zinc finger protein plag
OG0012349	e3 ubiquitin protein ligase trim
OG0010950	serine threonine protein kinase
OG0001662	zinc finger protein
OG0004790	splicing factor 3b subunit
OG0002628	interferon alpha inducible protein 27
OG0005949	follistatin protein
OG0000220	claudin
OG0006075	rho guanine nucleotide exchange factor
OG0014463	olfactory receptor
OG0005219	solanesyl diphosphate synthase 1 chloroplastic
OG0012691	ribosome biogenesis protein wdr
OG0002125	fgfr oncogene partner
OG0012546	hepatic sodium bile acid cotransporter
OG0003543	rna rnp complex interacting phosphatase
OG0001576	clathrin interactor epsin
OG0014539	josephin protein
OG0002529	dna dc >du editing enzyme apobec 3g
OG0003706	mannose binding protein c
OG0003595	glutamate rich protein
OG0014256	transmembrane protein 35b
OG0003516	f box lrr repeat protein
OG0015345	protein mab
OG0009151	e3 ubiquitin protein ligase znrf
OG0004525	c motif chemokine
OG0003140	centromere protein w
OG0012874	serine threonine protein kinase
OG0013634	von willebrand factor a domain containing protein 3a
OG0009274	scl interrupting locus protein
OG0010565	kinetochore protein spc
OG0014989	runt transcription factor
OG0000188	kallikrein peptidase
OG0003575	associated sm protein lsm
OG0000005	spindlin
OG0015335	olfactory receptor protein
OG0000610	protein s100 a1
OG0012315	maspardin
OG0012187	protein lyric
OG0014432	vomeronasal type receptor
OG0010144	transmembrane protein
OG0004946	scavenger receptor cysteine rich domain containing protein
OG0014879	olfactory receptor protein
OG0000943	nadh dehydrogenase [ubiquinone] alpha subcomplex subunit
OG0006852	ligand dependent nuclear receptor interacting factor
OG0011693	transmembrane protein 121b
OG0013457	unknown sequence family
OG0001657	bifunctional epoxide hydrolase
OG0007790	glutamate receptor interacting protein
OG0014261	eukaryotic translation initiation factor subunit i
OG0012229	protein phosphatase regulatory subunit
OG0008155	zinc finger bed domain containing protein
OG0014900	liver carboxylesterase 1
OG0005697	homeobox protein nkx
OG0002387	5 aminolevulinate synthase mitochondrial
OG0013424	unknown sequence family
OG0014487	reticulon protein
OG0009125	anterior gradient protein 2
OG0000367	arylsulfatase g
OG0008445	early growth response protein 1
OG0001975	ras gtp binding protein rho
OG0012733	thrombopoietin
OG0013293	cohesin subunit sa
OG0002517	neurotrophic factor bdnf precursor form
OG0009562	vacuolar protein sorting associated
OG0012211	ras guanyl releasing protein 2
OG0007482	exocyst complex component protein
OG0003975	ataxin protein
OG0006760	upf protein c16orf89
OG0015260	dna topoisomerase
OG0010386	signal peptidase complex subunit
OG0015092	testis expressed protein 1
OG0009574	ufm specific protease
OG0002422	gtp binding protein rem
OG0014141	ras association domain containing protein
OG0005170	phospholemman
OG0004326	myosin
OG0011875	transcription factor sp
OG0005402	pumilio protein 14
OG0011128	transmembrane protein
OG0010935	tpr and ankyrin repeat containing protein
OG0009682	zinc finger protein
OG0001570	phospholipase d alpha
OG0007072	ddb and cul associated factor protein
OG0005979	nad kinase 2 mitochondrial
OG0015364	mitochondrial carrier family protein
OG0014784	ganglioside induced differentiation associated protein
OG0007623	nuclear pore complex protein nup
OG0007799	small ribosomal subunit protein ms
OG0002652	zona pellucida sperm binding protein
OG0001521	basonuclin zinc finger protein
OG0009621	endoribonuclease ysh
OG0009745	ubiquitin carboxyl terminal hydrolase
OG0009426	carboxypeptidase e
OG0006771	glutamine rich protein
OG0013540	exosome complex component rrp
OG0007993	unknown sequence family
OG0011463	leucine rich repeat flightless interacting protein
OG0011204	bactericidal permeability increasing protein
OG0006932	adenylate kinase isoenzyme
OG0006226	transmembrane protein
OG0000542	transcriptional enhancer factor tef
OG0004842	camp dependent protein kinase inhibitor
OG0010873	orc ubiquitin ligase
OG0001550	5 amp activated protein kinase catalytic subunit alpha
OG0006903	glomulin
OG0008525	tropomodulin
OG0007442	zinc finger ccch domain containing protein
OG0006231	heparan sulfate glucosamine 3 o sulfotransferase
OG0002526	signal recognition particle subunit srp
OG0003267	inorganic pyrophosphatase 2
OG0014611	mitochondrial carrier
OG0002346	adenylyl cyclase associated protein
OG0003657	barrier to autointegration factor protein
OG0011284	adp ribosylation factor gtpase activating protein
OG0008805	xaa arg dipeptidase
OG0007199	n acetyltransferase esco
OG0007008	histone lysine n methyltransferase smyd
OG0010847	glutamate rich protein
OG0009094	cyclin dependent kinase
OG0014763	btb poz domain containing adapter for cul mediated rhoa degradation protein
OG0013134	emerin
OG0013791	e3 ubiquitin protein ligase trim
OG0009314	cell division cycle 20 1 cofactor of apc complex
OG0003719	ankyrin repeat domain containing protein
OG0012210	cdan interacting nuclease
OG0002347	ribosomal rna small subunit methyltransferase f
OG0003195	trna cytosine 38 c 5 methyltransferase
OG0015355	unknown sequence family
OG0002980	dna dc >du editing enzyme apobec 3g
OG0014642	tetratricopeptide repeat protein
OG0012752	schwannomin interacting protein
OG0006806	transducin beta protein
OG0000965	t cell leukemia homeobox protein
OG0011400	transmembrane protease serine
OG0011859	cysteine serine rich nuclear protein
OG0005094	ets transcription factor
OG0003734	zinc finger ccch domain containing protein
OG0013894	transcription factor ap
OG0003070	chemokine factor
OG0001068	cystatin c
OG0014692	trna adenine 57 n 1 58 methyltransferase trmi
OG0001943	tyrosine protein phosphatase non receptor type
OG0006465	nuclear factor of activated t cells cytoplasmic
OG0015297	olfactory receptor
OG0011822	transmembrane protein
OG0005776	translin associated protein x
OG0014275	homeobox protein meis
OG0001551	proteasome maturation protein
OG0001404	class basic helix loop protein
OG0003265	polypeptide n acetylgalactosaminyltransferase
OG0000101	claudin protein
OG0010305	coiled coil domain containing protein
OG0004764	loop transcription factor
OG0002294	monocyte to macrophage differentiation factor
OG0002018	tyrosine protein phosphatase non receptor type substrate
OG0004103	cgmp specific 3 5 cyclic phosphodiesterase
OG0013826	dep domain containing protein
OG0002017	pc esterase domain containing protein
OG0006101	myelin protein zero
OG0014307	transcription factor
OG0007746	cyclin dependent kinase 1
OG0007727	kelch protein
OG0004050	transmembrane protein
OG0010120	transmembrane protein 179b
OG0003054	beta defensin
OG0008471	e3 ubiquitin protein ligase topors
OG0013987	g protein inward rectifier potassium channel
OG0000497	maguk p55 subfamily member
OG0006604	transmembrane protein
OG0006583	arf gap domain and fg repeat containing protein
OG0012087	adhesion g protein coupled receptor
OG0009557	trna carboxymethyluridine 34 5 o methyltransferase alkbh
OG0009164	vasopressin v1a receptor
OG0011981	smc complex localization factor protein
OG0014717	snrpn upstream reading frame protein
OG0013468	peroxisome proliferator activated receptor gamma
OG0002714	phosphatidylinositol n acetylglucosaminyltransferase subunit p
OG0014554	e3 ubiquitin protein ligase trim
OG0014407	interferon activable protein 205
OG0011687	neutral ceramidase
OG0010224	neurexophilin
OG0006814	small ribosomal subunit protein ms
OG0005713	nacht and wd repeat domain containing protein
OG0013597	moesin ezrin radixin
OG0006458	transmembrane emp domain containing protein
OG0008576	kinesin protein kif
OG0009412	rna binding protein
OG0000011	disks large
OG0001618	homeobox protein cut
OG0011610	stress induced phosphoprotein
OG0001175	single stranded dna binding protein
OG0008605	myod family inhibitor protein
OG0011334	small ribosomal subunit protein ms
OG0003905	protein fam78a
OG0010730	brca interacting transcriptional repressor emsy
OG0001710	heat repeat containing protein
OG0005417	terminal nucleotidyltransferase
OG0009502	inactive polypeptide n acetylgalactosaminyltransferase protein
OG0001738	swi snf matrix associated actin dependent regulator of chromatin subfamily d member
OG0013604	phosphoinositide interacting protein
OG0010762	unknown sequence family
OG0003136	ribosomal protein s6 kinase
OG0013536	unknown sequence family
OG0004862	golgi membrane protein
OG0008585	extracellular metalloprotease 00389
OG0012643	golgin subfamily b member
OG0004577	thy membrane glycoprotein
OG0014541	brefeldin a inhibited guanine nucleotide exchange protein
OG0004606	glucocorticoid receptor
OG0001021	grainyhead protein
OG0005996	golgi phosphoprotein
OG0009448	denn domain containing protein
OG0014810	prostaglandin e synthase
OG0010741	c2 domain containing protein
OG0012215	bcl modifying factor
OG0003893	zinc finger and scan protein
OG0013628	dna mismatch repair protein
OG0007377	pleckstrin homology domain containing family f member
OG0013558	adhesion g protein coupled receptor g1
OG0003862	trna 9 1 methyltransferase
OG0003313	syntaxin
OG0000360	elongin c
OG0003037	prefoldin subunit
OG0014522	succinyl diaminopimelate desuccinylase
OG0013325	host cell factor
OG0005472	e3 ubiquitin protein ligase ubr
OG0002492	unknown sequence family
OG0002914	heart and neural crest derivatives expressed protein
OG0013212	testis specific y encoded protein
OG0001979	c2 calcium dependent domain containing protein
OG0007247	cation channel sperm associated auxiliary subunit beta
